-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2001 through 12/31/2017 
Location: Latitude  36.7382   Longitude -119.7776 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 358.59 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M
36.73821,-119.77759,2002,01,28,    2.93
36.73821,-119.77759,2002,01,29,    1.30
36.73821,-119.77759,2002,01,30,    0.70
36.73821,-119.77759,2002,01,31,    3.68
36.73821,-119.77759,2002,02,01,    4.62
36.73821,-119.77759,2002,02,02,    5.72
36.73821,-119.77759,2002,02,03,    6.74
36.73821,-119.77759,2002,02,04,    8.00
36.73821,-119.77759,2002,02,05,    9.08
36.73821,-119.77759,2002,02,06,    8.96
36.73821,-119.77759,2002,02,07,   10.73
36.73821,-119.77759,2002,02,08,    9.41
36.73821,-119.77759,2002,02,09,    9.97
36.73821,-119.77759,2002,02,10,   12.08
36.73821,-119.77759,2002,02,11,   11.95
36.73821,-119.77759,2002,02,12,   12.11
36.73821,-119.77759,2002,02,13,   11.45
36.73821,-119.77759,2002,02,14,   12.54
36.73821,-119.77759,2002,02,15,   11.82
36.73821,-119.77759,2002,02,16,   11.12
36.73821,-119.77759,2002,02,17,    7.18
36.73821,-119.77759,2002,02,18,    6.38
36.73821,-119.77759,2002,02,19,    9.01
36.73821,-119.77759,2002,02,20,   12.66
36.73821,-119.77759,2002,02,21,   15.60
36.73821,-119.77759,2002,02,22,   17.13
36.73821,-119.77759,2002,02,23,   11.51
36.73821,-119.77759,2002,02,24,   10.80
36.73821,-119.77759,2002,02,25,   13.71
36.73821,-119.77759,2002,02,26,   16.38
36.73821,-119.77759,2002,02,27,   16.12
36.73821,-119.77759,2002,02,28,   14.73
36.73821,-119.77759,2002,03,01,   10.23
36.73821,-119.77759,2002,03,02,   11.43
36.73821,-119.77759,2002,03,03,   11.38
36.73821,-119.77759,2002,03,04,   13.01
36.73821,-119.77759,2002,03,05,   13.08
36.73821,-119.77759,2002,03,06,   10.99
36.73821,-119.77759,2002,03,07,    8.59
36.73821,-119.77759,2002,03,08,    5.88
36.73821,-119.77759,2002,03,09,   10.29
36.73821,-119.77759,2002,03,10,   10.44
36.73821,-119.77759,2002,03,11,   12.83
36.73821,-119.77759,2002,03,12,   13.58
36.73821,-119.77759,2002,03,13,    7.73
36.73821,-119.77759,2002,03,14,    6.47
36.73821,-119.77759,2002,03,15,    6.24
36.73821,-119.77759,2002,03,16,    5.73
36.73821,-119.77759,2002,03,17,    4.61
36.73821,-119.77759,2002,03,18,    6.24
36.73821,-119.77759,2002,03,19,   10.89
36.73821,-119.77759,2002,03,20,   15.05
36.73821,-119.77759,2002,03,21,   15.87
36.73821,-119.77759,2002,03,22,   12.98
36.73821,-119.77759,2002,03,23,   10.39
36.73821,-119.77759,2002,03,24,    9.01
36.73821,-119.77759,2002,03,25,   10.01
36.73821,-119.77759,2002,03,26,   12.83
36.73821,-119.77759,2002,03,27,   15.06
36.73821,-119.77759,2002,03,28,   15.77
36.73821,-119.77759,2002,03,29,   15.94
36.73821,-119.77759,2002,03,30,   17.44
36.73821,-119.77759,2002,03,31,   18.47
36.73821,-119.77759,2002,04,01,   19.42
36.73821,-119.77759,2002,04,02,   19.39
