,T2M,collisions
1305,27.91,45
1306,27.6,42
1307,26.28,38
1308,25.49,24
1309,23.83,45
1310,24.7,34
1311,26.46,46
1312,26.16,29
1313,25.68,36
1314,26.99,44
1315,29.83,23
1316,29.86,44
1317,30.56,35
1318,32.51,49
1319,31.66,40
1320,31.22,40
1321,28.19,27
1322,25.67,23
1323,26.64,33
1324,28.36,39
1325,29.47,35
1326,28.95,39
1327,28.98,46
1328,27.56,34
1329,24.85,20
1330,24.03,37
1331,24.0,35
1332,24.6,61
1333,24.03,44
1334,26.4,38
1335,29.06,25
1336,28.63,14
1337,28.48,43
1338,29.43,29
1339,29.22,51
1340,26.92,49
1341,22.54,50
1342,24.67,29
1343,27.62,35
1344,28.65,34
1345,29.56,48
1346,30.8,49
1347,30.14,49
1348,28.54,53
1349,28.17,38
1350,26.3,39
1351,22.76,48
1352,23.23,48
1353,25.37,48
1354,26.27,51
1355,25.51,42
1356,18.33,42
1357,14.76,26
1358,15.59,56
1359,18.71,40
1360,22.41,36
1361,23.71,54
1362,25.27,55
1363,24.76,35
1364,24.96,21
1365,23.42,40
1366,19.73,43
1367,19.2,38
1368,19.27,44
1369,19.82,36
1370,21.99,28
1371,22.64,26
1372,21.27,42
1373,21.78,33
1374,22.65,52
1375,22.02,39
1376,22.89,59
1377,19.18,33
1378,19.09,30
1379,20.36,39
1380,23.09,47
1381,24.76,37
1382,24.69,47
1383,23.02,24
1384,18.78,25
1385,16.46,19
1386,14.55,35
1387,12.15,30
1388,11.89,26
1389,11.66,42
1390,12.79,36
1391,13.73,36
1392,13.71,26
1393,13.11,23
1394,9.99,23
1395,8.68,20
1396,9.98,41
1397,10.7,30
1398,11.99,27
1399,11.49,28
1400,11.8,32
1401,14.24,40
1402,11.02,41
1403,9.25,26
1404,12.5,37
1405,13.3,33
1406,12.53,17
1407,10.69,30
1408,11.93,33
1409,12.2,36
1410,12.13,25
1411,12.15,32
1412,12.53,20
1413,12.83,26
1414,13.84,28
1415,14.81,30
1416,13.81,31
1417,12.07,37
1418,10.47,33
1419,9.06,34
1420,8.21,20
1421,9.33,23
1422,8.89,32
1423,10.26,40
1424,10.71,11
1425,10.06,19
1426,7.35,17
1427,3.66,14
1428,3.62,21
1429,5.17,27
1430,5.01,34
1431,5.8,32
1432,6.76,31
1433,6.84,30
1434,6.94,9
1435,6.2,27
1436,6.94,21
1437,7.89,21
1438,11.42,35
1439,13.54,41
1440,16.1,26
1441,13.31,21
1442,11.72,27
1443,11.23,35
1444,9.6,34
1445,11.13,33
1446,10.97,40
1447,10.92,23
1448,12.69,15
1449,9.43,28
1450,7.9,26
1451,8.17,25
1452,7.66,27
1453,8.83,17
1454,8.68,14
1455,7.79,14
1456,10.29,15
1457,9.37,8
1458,7.32,22
1459,7.57,15
1460,6.66,17
1461,5.06,14
1462,6.3,10
1463,4.88,13
1464,3.93,13
1465,5.1,24
1466,5.67,28
1467,6.27,12
1468,7.8,9
1469,8.38,11
1470,9.96,15
1471,4.8,18
1472,3.9,26
1473,4.79,23
1474,6.79,35
1475,8.82,25
1476,8.91,17
1477,8.9,21
1478,11.31,25
1479,13.31,39
1480,13.95,23
1481,12.18,31
1482,11.96,27
1483,13.49,21
1484,14.05,28
1485,13.64,21
1486,11.12,23
1487,8.24,23
1488,7.41,32
1489,5.96,24
1490,5.82,24
1491,8.33,26
1492,9.46,25
1493,9.61,37
1494,10.8,34
1495,11.64,40
1496,10.63,34
1497,9.87,21
1498,8.68,36
1499,9.26,19
1500,10.54,34
1501,11.69,24
1502,11.57,25
1503,11.83,20
1504,11.09,22
1505,11.31,25
1506,10.38,24
1507,12.03,23
1508,13.24,40
1509,10.68,22
1510,9.8,19
1511,10.06,14
1512,11.11,21
1513,10.67,28
1514,10.7,28
1515,10.33,30
1516,10.39,36
1517,10.44,31
1518,10.88,19
1519,10.4,30
1520,10.42,39
1521,9.43,31
1522,10.95,33
1523,10.6,23
1524,11.59,41
1525,12.55,32
1526,13.54,36
1527,14.86,47
1528,16.04,33
1529,16.99,47
1530,18.75,35
1531,17.2,24
1532,14.4,21
1533,12.73,39
1534,12.67,46
1535,13.57,27
1536,12.36,25
1537,10.95,25
1538,9.78,16
1539,9.79,16
1540,10.07,30
1541,9.51,12
1542,7.87,18
1543,7.94,30
1544,9.06,39
1545,11.29,29
1546,13.89,13
1547,9.37,29
1548,8.79,32
1549,9.58,34
1550,13.06,40
1551,16.2,39
1552,13.95,30
1553,11.79,16
1554,9.21,40
1555,13.91,45
1556,17.63,45
1557,10.37,37
1558,8.05,30
1559,9.43,33
1560,11.67,26
1561,13.21,35
1562,12.61,40
1563,9.61,44
1564,10.75,47
1565,14.31,39
1566,17.16,39
1567,15.31,26
1568,12.3,29
1569,11.3,36
1570,13.41,53
1571,15.74,43
1572,16.34,33
1573,13.79,28
1574,13.63,19
1575,14.2,37
1576,16.37,30
1577,14.84,27
1578,12.33,40
1579,14.23,40
1580,14.82,29
1581,15.96,23
1582,16.82,38
1583,17.46,40
1584,17.23,45
1585,14.37,31
1586,14.06,42
1587,14.8,32
1588,16.09,16
1589,12.84,18
1590,12.18,34
1591,14.93,43
1592,17.93,45
1593,20.12,49
1594,20.21,35
1595,21.39,34
1596,16.21,32
1597,15.57,35
1598,20.55,43
1599,21.47,26
1600,19.22,41
1601,20.37,48
1602,22.45,30
1603,21.61,46
1604,22.81,39
1605,25.41,43
1606,24.81,50
1607,24.03,35
1608,19.65,27
1609,17.58,25
1610,20.15,26
1611,23.92,47
1612,23.28,46
1613,21.5,42
1614,21.09,45
1615,20.83,39
1616,18.02,21
1617,15.8,32
1618,16.64,46
1619,18.19,42
1620,19.91,35
1621,21.21,48
1622,21.05,32
1623,22.81,33
1624,26.12,34
1625,26.8,42
1626,24.34,37
1627,21.45,33
1628,18.06,39
1629,19.1,25
1630,20.95,28
1631,22.76,39
1632,22.76,40
1633,23.84,41
1634,24.51,36
1635,23.7,29
1636,22.81,40
1637,23.26,23
1638,23.53,33
1639,23.42,43
1640,27.42,27
1641,29.87,36
1642,30.86,27
1643,28.82,24
1644,27.66,23
1645,27.05,43
1646,27.08,39
1647,27.38,37
1648,27.5,26
1649,25.8,42
1650,24.38,29
1651,25.29,36
1652,28.51,25
1653,31.55,41
1654,32.58,26
1655,33.43,43
1656,33.78,39
1657,34.13,32
1658,33.93,20
1659,32.9,32
1660,32.84,39
